measure	globqual	meanclassqual	classqual_herstructureren_2	classqual_herstructureren_3	classqual_herstructureren_1	model	technique
SCP_k10_b0	0.3407924402061654	0.288838549925358	0.46391494690029295	0.12865840934823303	0.2739422935275481	herstructureren.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	mds
kNN_k17	0.398961937716263	0.34750096655800905	0.5094850948509485	0.18007662835249041	0.3529411764705882	herstructureren.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.40192513368983956	0.3526349437555265	0.508869179600887	0.19310344827586207	0.3559322033898305	herstructureren.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	mds
DR	1.064782391952674	1.0278242029386035	1.212401400506608	0.9599036499943417	0.9111675583148613	herstructureren.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	mds
SIL	0.0016547884645193355	-0.03182511028853564	0.13134323910534668	-0.09644880202053743	-0.13036976795041616	herstructureren.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.35485551343766203	0.29858798617646476	0.4998898986767472	0.13407013127989664	0.26180392857275037	herstructureren.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	mds
kNN_k17	0.4045367166474433	0.3527267464031604	0.5231149370317233	0.18976786116745548	0.3452974410103024	herstructureren.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	mds
kNN_k10	0.40588235294117647	0.3576999917493995	0.5073170731707317	0.1993730407523511	0.36640986132511555	herstructureren.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	mds
DR	1.0965396027536396	1.056902197260011	1.2818569718979338	0.912079259044414	0.9767703608376852	herstructureren.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SIL	0.011737217168214732	-0.0253699093252233	0.17264228190947134	-0.1798216614766774	-0.06893034840846382	herstructureren.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	mds
SCP_k10_b0	0.4080499039024878	0.3776017930498082	0.5299335863899852	0.2356474676858054	0.36722432507363395	herstructureren.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k22	0.44516035879942967	0.4135730547653452	0.5780123059370034	0.27591973244147155	0.3867871259175607	herstructureren.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	mds
kNN_k10	0.4613532586135326	0.4359489651242229	0.563261480787254	0.31783216783216783	0.4267532467532467	herstructureren.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	mds
DR	1.0952570170358247	1.0602916980630375	1.2545728119375485	0.9263019880392233	1.0000002942123403	herstructureren.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	mds
SIL	0.008742774662003728	-0.024806809061278447	0.14528719621076874	-0.17785240311980738	-0.041855220274796705	herstructureren.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	mds
SCP_k10_b0	0.3930500356445367	0.3642665304248904	0.5096887782446968	0.23220058864890297	0.3509102243810714	herstructureren.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k22	0.4470193296875846	0.41839505183297204	0.5685587384377164	0.2953785345089693	0.39124788255223036	herstructureren.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	mds
kNN_k10	0.4586965545869655	0.43181492047471426	0.5675726335520149	0.3083916083916084	0.41948051948051945	herstructureren.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	mds
DR	1.0427001220982675	1.012214997796446	1.1666646161028278	0.8729870795838577	0.9969932977026528	herstructureren.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	mds
SIL	-0.022483915956974954	-0.04799681125716173	0.08621978170765086	-0.15707881462888199	-0.07313140085025407	herstructureren.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	mds
SCP_k10_b0	0.38184079390285036	0.3603372630895564	0.49535109238130515	0.3012317154654367	0.28442898142192735	herstructureren.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k22	0.41745627808760627	0.39877274227341464	0.5128560368363148	0.34258133171176647	0.34088085827216263	herstructureren.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	mds
kNN_k10	0.4220838522208385	0.4057206024216333	0.5075913776944705	0.3594405594405594	0.3501298701298701	herstructureren.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	mds
DR	1.0713304620663675	1.04527434846736	1.2193973217263208	0.9894427595678741	0.9269829641078848	herstructureren.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	mds
SIL	-0.008935597273003557	-0.03404328122901719	0.1263266489644481	-0.09896520740365185	-0.1294912852478478	herstructureren.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	mds
SCP_k10_b0	0.39104737995158534	0.3650859000923825	0.5256782542062403	0.29010975964286767	0.27946968642803954	herstructureren.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k22	0.41704116808345515	0.39107671052987053	0.5345340450674382	0.29036181210094253	0.34833427442123094	herstructureren.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	mds
kNN_k10	0.44009962640099626	0.4171596444792321	0.5533270852858482	0.3423076923076923	0.35584415584415585	herstructureren.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	mds
DR	1.116146440193085	1.0650981389282561	1.3150058892615166	0.818872099039396	1.0614164284838559	herstructureren.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	mds
