_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	base
heffen.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.4523767763474619	-0.12609456198581936	NA	NA	nobound	598	all	10_10	1	selection	FOC	314	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.462912050798799	-0.14413551317541795	NA	NA	nobound	598	all	10_10	1	selection	FOC	598	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	-1.366389054306741	0.09536182699632743	NA	NA	nobound	1325	all	10_10	1	no	5000	5000	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	-2.1956445601516728	-0.5488811730347664	NA	NA	nobound	1325	all	10_10	1	no	5000	5000	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	-1.0290057408407902	-0.13387940846207894	NA	NA	nobound	1325	all	10_10	1	no	FOC	702	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	-1.1272852112676335	-0.16187266410594112	NA	NA	nobound	1325	all	10_10	1	no	FOC	1325	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	0.16054478127126762	-0.27019130502162064	NA	NA	nobound	322	lex	5_5	1	weight	5000	5000	nav	4_4	217	heffen	NA	NA	BOW
heffen.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	0.3256166833917316	-0.6729648001787042	NA	NA	nobound	322	lex	5_5	1	weight	5000	5000	all	4_4	217	heffen	NA	NA	BOW
heffen.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	0.13975746823158633	-0.24002549953629093	NA	NA	nobound	322	lex	5_5	1	weight	FOC	221	nav	4_4	217	heffen	NA	NA	BOW
heffen.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	0.14185766288071627	-0.24531020875305062	NA	NA	nobound	322	lex	5_5	1	weight	FOC	322	all	4_4	217	heffen	NA	NA	BOW
heffen.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	0.15901449144201832	-0.42633477260150654	NA	NA	nobound	322	lex	5_5	1	selection	5000	5000	nav	4_4	217	heffen	NA	NA	BOW
heffen.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	0.2883818389725736	-0.8333829984253691	NA	NA	nobound	322	lex	5_5	1	selection	5000	5000	all	4_4	217	heffen	NA	NA	BOW
heffen.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.10645047171203881	-0.27801138082480004	NA	NA	nobound	322	lex	5_5	1	selection	FOC	221	nav	4_4	217	heffen	NA	NA	BOW
heffen.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	0.09978211517637933	-0.28694294622178795	NA	NA	nobound	322	lex	5_5	1	selection	FOC	322	all	4_4	217	heffen	NA	NA	BOW
heffen.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	0.06252140773518557	-0.5984180320549617	NA	NA	nobound	515	lex	5_5	1	no	5000	5000	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	0.15422715155715014	-1.1315737190062223	NA	NA	nobound	515	lex	5_5	1	no	5000	5000	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	0.036137018162777666	-0.40705328619813597	NA	NA	nobound	515	lex	5_5	1	no	FOC	375	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	0.029306417146161896	-0.40458614433953344	NA	NA	nobound	515	lex	5_5	1	no	FOC	515	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	0.08715342996687937	-0.1313832733760606	NA	NA	nobound	427	all	5_5	1	weight	5000	5000	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	0.2616888535161621	-0.693946632060866	NA	NA	nobound	427	all	5_5	1	weight	5000	5000	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	0.08326042644144362	-0.1539774819840878	NA	NA	nobound	427	all	5_5	1	weight	FOC	221	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	0.07126099791594663	-0.15208623280270084	NA	NA	nobound	427	all	5_5	1	weight	FOC	427	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	-0.5170520544279007	0.12234657884290363	NA	NA	nobound	427	all	5_5	1	selection	5000	5000	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	-0.04344964001857584	-0.8538508356823964	NA	NA	nobound	427	all	5_5	1	selection	5000	5000	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.05425287387145068	-0.04389752134785931	NA	NA	nobound	427	all	5_5	1	selection	FOC	221	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	-0.0843113399508154	-0.048857718840501066	NA	NA	nobound	427	all	5_5	1	selection	FOC	427	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	-0.8291750697831431	0.2101880418470125	NA	NA	nobound	698	all	5_5	1	no	5000	5000	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSall	-1.2986180862677408	-0.5315358789745561	NA	NA	nobound	698	all	5_5	1	no	5000	5000	all	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav	-0.40082007285227816	-0.0077377378082751054	NA	NA	nobound	698	all	5_5	1	no	FOC	375	nav	4_4	218	heffen	NA	NA	BOW
heffen.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSall	-0.44981539480867344	-0.02171481447306813	NA	NA	nobound	698	all	5_5	1	no	FOC	698	all	4_4	218	heffen	NA	NA	BOW
