batch	username	annotator	code
gekleurd_7	maren.biesbrouck	ann_1	16_1
herstructureren_5	maren.biesbrouck	ann_1	16_1
herhalen_4	maren.biesbrouck	ann_1	16_1
staal_1	maren.biesbrouck	ann_1	16_1
heffen_3	maren.biesbrouck	ann_1	16_1
herstellen_3	maren.biesbrouck	ann_1	16_1
hoop_8	maren.biesbrouck	ann_1	16_1
spoor_7	maren.biesbrouck	ann_1	16_1
heet_2	maren.biesbrouck	ann_1	16_1
goedkoop_2	sarah.vandijck	ann_1	17_1
heet_7	sarah.vandijck	ann_1	17_1
grijs_8	sarah.vandijck	ann_1	17_1
